stock_code,trade_date,stock_code,equity,cash,cumu_r,nav,volume,buy_sell,operation_price,operation_volume,is_long
600519.SH,2016-10-25,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-26,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-27,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-28,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-31,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-11-01,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-11-02,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-11-03,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-11-04,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-11-07,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-11-08,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
